analysis_id,6q431v4g3njkuvx
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
pvalue,0.5382826
mouse_life_stage,Early adult
parameter_name,lens opacity
mouse_strain,C57BL
