parameter_name,Centre resting time
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
pvalue,0.3058703
mouse_strain,C57BL
parameter_id,ESLIM_007_001_011
analysis_id,0b6661g1g7p2a4z
