parameter_name,Response amplitude - S
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
analysis_id,vb70xg2y13p3zva
mouse_strain,C58BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
pvalue,0.47364
