parameter_name,Distance travelled - total
parameter_id,JAXLA_OFD_020_001
mouse_strain,C57BL
gene_symbol,Lpgat1
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
pvalue,0.6524319
analysis_id,528y2078s07m7d4
