analysis_id,9xe229s90ev01r4
mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,Early adult
pvalue,0.3449268
parameter_name,Forelimb and hindlimb grip strength measurement mean
parameter_id,IMPC_GRS_009_001
