analysis_id,7101tri1z32h6em
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.9677158
gene_symbol,Zfp683
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
