parameter_name,Center average speed
analysis_id,bbq3i8xm0841k30
pvalue,0.09679081
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Fgb
parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:99501
