gene_symbol,Bach2
parameter_name,Cornea
pvalue,0.4543915
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_007_001
analysis_id,kvs51mkq63s3qz2
gene_accession_id,MGI:894679
