parameter_name,Clavicle
mouse_strain,C57BL
analysis_id,byvzo1gyrkvv350
mouse_life_stage,Late adult
parameter_id,IMPC_XRY_007_001
pvalue,0.2436206
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
