gene_symbol,Trp53i11
parameter_id,IMPC_IMM_069_001
pvalue,0.9494955
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
parameter_name,Transitional B Cells (CD21/35 low)
analysis_id,z671697bt35gqrm
