gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,836439474uqhr80
parameter_id,MGP_IMM_007_001
mouse_strain,C57BL
pvalue,0.1056196
