parameter_name,Periphery average speed
gene_accession_id,MGI:1914437
mouse_strain,C57BL
gene_symbol,Zmynd19
analysis_id,ay31wcpqlze0lj5
parameter_id,JAX_OFD_013_001
pvalue,0.2587147
mouse_life_stage,Early adult
