parameter_name,Total T cell percentage
mouse_strain,C57BL
gene_symbol,Lpgat1
analysis_id,2141u2812mj0800
pvalue,0.7644963
parameter_id,MGP_PBI_001_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
