parameter_name,Prepulse inhibition - PP4
pvalue,0.603351
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_strain,129SV
analysis_id,5ed3yxldqd964u1
