gene_symbol,Kif24
gene_accession_id,MGI:1918345
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.2375006
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
analysis_id,piy94a27rj2169i
