analysis_id,sl06y090c12304u
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
pvalue,0.06741632
gene_symbol,Ints7
parameter_id,JAX_OFD_007_001
parameter_name,Whole arena resting time
