parameter_id,IMPC_GPP_004_001
analysis_id,77y61g337g27gn5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_name,Placenta Size
pvalue,0.1977439
gene_symbol,Tatdn3
