analysis_id,b5rc350p04222pk
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
pvalue,0.6271051
gene_symbol,Sla2
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_MLN_031_001
