parameter_name,Total T cell percentage
gene_accession_id,MGI:88461
mouse_strain,C57BL
gene_symbol,Col6a3
mouse_life_stage,Early adult
pvalue,0.2505656
analysis_id,3h5484j47pwobs1
parameter_id,MGP_PBI_001_001
