parameter_name,Head morphology
pvalue,0.3903019
gene_symbol,Tnni1
gene_accession_id,MGI:105073
parameter_id,MGP_CSD_064_001
analysis_id,734nd6j1782d7o1
mouse_life_stage,Early adult
mouse_strain,C57BL
