analysis_id,341d7mu3ugzt9p9
gene_accession_id,MGI:3033992
pvalue,0.595929
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
gene_symbol,Cldn19
