parameter_name,Chloride
analysis_id,6271252n296q9l1
gene_accession_id,MGI:2135738
mouse_strain,C57BL
gene_symbol,Abo
pvalue,0.173254
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
