parameter_name,Neural tube morphology
mouse_life_stage,E9.5
gene_symbol,Wars2
analysis_id,b25l85idfbfxwix
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:1917810
pvalue,0.3902727
