parameter_name,Head morphology
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
analysis_id,yonhm99e9m8215p
pvalue,0.2197474
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
