gene_symbol,Lime1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5352345
analysis_id,6mzj58q3uz330x3
parameter_id,IMPC_IMM_069_001
gene_accession_id,MGI:1919949
parameter_name,Transitional B Cells (CD21/35 low)
