parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
pvalue,0.3702062
gene_accession_id,MGI:1922745
parameter_id,IMPC_IMM_073_001
gene_symbol,Morn5
mouse_strain,C57BL
analysis_id,2glff132k79rm50
