analysis_id,zi4pvm1981dpu00
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
mouse_strain,C57BL
pvalue,0.7249167
