analysis_id,ipfo1k5485nx118
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
pvalue,0.07838593
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
mouse_strain,C57BL
