parameter_name,110dB startle magnitude
mouse_strain,C57BL
gene_accession_id,MGI:1915678
pvalue,0.295841
mouse_life_stage,Early adult
analysis_id,v3vres5865f82ts
gene_symbol,Steap3
parameter_id,ESLIM_011_001_006
