analysis_id,31xq6cb5w9808bk
pvalue,0.6416647
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
parameter_id,MGP_IMM_013_001
mouse_strain,C57BL
parameter_name,Total CD8+ T cells - % of ab T cells
gene_symbol,Bmi1
