analysis_id,1zu2u3mmo740ay1
parameter_name,Percentage center time
gene_accession_id,MGI:1919137
mouse_strain,C57BL
pvalue,0.05626006
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
gene_symbol,Ppm1j
