gene_symbol,Wars2
pvalue,0.9800476
analysis_id,4n648m0745iwyls
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,E12.5
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1917810
