gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
analysis_id,41x84t67y46dee6
pvalue,0.8197576
mouse_strain,C57BL
