analysis_id,3y69h9n26mnu8d3
parameter_name,ST
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
pvalue,0.3599991
mouse_life_stage,Early adult
gene_symbol,Lamb3
gene_accession_id,MGI:99915
