analysis_id,mrf76lkdjefo751
gene_symbol,Tnfsf10
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2163925
gene_accession_id,MGI:107414
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
