parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
pvalue,0.2232292
gene_symbol,Eprs1
mouse_strain,C57BL
analysis_id,y06w364gx4a3285
