analysis_id,579z81elyntcnd1
mouse_life_stage,Early adult
gene_symbol,Gfi1b
parameter_id,JAXLA_CSD_021_001
mouse_strain,C57BL
pvalue,0.2053523
gene_accession_id,MGI:1276578
parameter_name,Hindlimbs - shape
