gene_symbol,Lpgat1
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:2446186
analysis_id,75412gt12hy19z3
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.213253
parameter_name,Neutrophil cell count
