analysis_id,g7z0zhr35g1s10q
pvalue,0.7803941
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,E18.5
parameter_name,HRV
