analysis_id,w37x8488189sq9e
gene_symbol,Tnfsf10
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_007_001
pvalue,0.7456992
gene_accession_id,MGI:107414
