analysis_id,24opmci8vuc86y9
mouse_strain,C57BL
gene_accession_id,MGI:1914256
parameter_id,IMPC_ACS_034_001
gene_symbol,Cisd2
pvalue,0.8214756
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
