analysis_id,h9z4y34j8y48438
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Snout morphology
pvalue,0.8989823
parameter_id,MGP_CSD_066_001
