parameter_name,LDL-cholesterol
analysis_id,w28808917v1ggot
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
pvalue,0.8514123
parameter_id,IMPC_CBC_025_001
