gene_symbol,Sla2
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.1088211
analysis_id,40j687h2015729k
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1925049
