gene_symbol,Trdmt1
pvalue,0.6897864
gene_accession_id,MGI:1274787
parameter_id,MGP_PBI_003_001
mouse_life_stage,Early adult
analysis_id,t9r72lsxyyvckh5
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,C57BL
