gene_symbol,Trp53i11
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2670995
pvalue,0.4525087
analysis_id,l0g4d2004u6odoa
parameter_name,Number of rears - total
parameter_id,JAX_OFD_021_001
