gene_symbol,Rab22a
analysis_id,6l6465468ls0372
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Dark side time spent
gene_accession_id,MGI:105072
pvalue,0.7547145
parameter_id,JAX_LDT_004_001
