Gene_symbol,Ap5s1
Mouse_life_stage,Early adult
Parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1916846
pvalue,0.8024915
Analysis_id,70c72ywh3wty33n
Mouse_strain,C57BL
Parameter_id,JAXLA_CSD_007_001
