analysis_id,40192dou41vgwd6
gene_symbol,Mov10
gene_accession_id,MGI:97054
pvalue,0.4539338
parameter_name,Snout size
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_067_001
