parameter_name,Eosinophil cell count
gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,1rdy1h30106z36g
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:88174
pvalue,0.5305319
