analysis_id,62nls43a3eapm73
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
pvalue,0.5330889
parameter_id,IMPC_IMM_073_001
mouse_strain,129SV
parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
