analysis_id,ips6f99u6pymd4b
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
parameter_name,ST
gene_symbol,Golm2
pvalue,0.7698825
gene_accession_id,MGI:2443129
mouse_strain,C57BL
