parameter_name,Cleft palate
mouse_life_stage,Early adult
analysis_id,kq9201000io8kf2
gene_accession_id,MGI:1309468
mouse_strain,C57BL
pvalue,0.6232465
parameter_id,IMPC_GEP_076_001
gene_symbol,Casq1
