analysis_id,6ep4c39205i28l7
mouse_strain,C57BL
gene_accession_id,MGI:1933159
pvalue,0.1708549
gene_symbol,RNF114
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A)
