gene_symbol,Tbl1xr1
pvalue,0.1366929
mouse_strain,C57BL
analysis_id,3gtj1m9l363f600
parameter_name,Retina (combined)
gene_accession_id,MGI:2441730
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Late adult
