analysis_id,4p7803cisiq429l
parameter_name,% Pre-pulse inhibition - PPI2
gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,4.036862e-08
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
