analysis_id,5v4r9lp9q61b60a
mouse_life_stage,Early adult
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
pvalue,0.8918793
mouse_strain,C57BL
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
