gene_symbol,Ubxn4
mouse_strain,C57BL
analysis_id,vs418726cpjdqru
parameter_name,Center average speed
pvalue,0.670688
parameter_id,JAX_OFD_017_001
mouse_life_stage,Late adult
gene_accession_id,MGI:1915062
