parameter_name,Embryo Size
analysis_id,a01088u2b36037u
pvalue,0.2280917
mouse_life_stage,Early adult
gene_symbol,Atf3
parameter_id,IMPC_GEL_032_001
gene_accession_id,MGI:109384
mouse_strain,C57BL
