gene_symbol,Rufy4
gene_accession_id,MGI:3588214
pvalue,0.6485819
analysis_id,23717l360xg52dg
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
mouse_life_stage,Early adult
