parameter_name,Forebrain
gene_symbol,Kdm5b
pvalue,0.482764
parameter_id,IMPC_GEL_028_001
analysis_id,8695z2vhj55256z
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922855
