gene_symbol,Cldn19
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
mouse_strain,C57BL
analysis_id,rc6g8c0c855ie53
parameter_id,IMPC_EYE_007_001
pvalue,0.8125305
parameter_name,Cornea
