parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
analysis_id,ky26yn6hk196566
pvalue,0.08836505
gene_accession_id,MGI:1914556
mouse_strain,C57BL
parameter_name,Potassium
