gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:99605
analysis_id,9118d56bkk2p238
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
pvalue,0.1558331
